sentence,label
"We need to submit the report by Friday.",Relevant
"I'll prepare the presentation slides tonight.",Relevant
"Let's change the methodology for this phase.",Relevant
"The meeting is scheduled for 10 AM on Monday.",Relevant
"Rahul will handle the conclusion section.",Relevant
"We decided to use Python for the backend.",Relevant
"Can you send the dataset to Sonali by tomorrow?",Relevant
"The deadline for the final draft is next Wednesday.",Relevant
"I will complete the testing phase by end of day.",Relevant
"We have to fix the bug before the demo.",Relevant
"Let's finalize the budget for this quarter.",Relevant
"The client wants the report delivered by Thursday.",Relevant
"I think we should prioritize the frontend first.",Relevant
"Someone needs to review the pull request today.",Relevant
"We agreed to move the launch date to next month.",Relevant
"Please update the documentation before the release.",Relevant
"The team decided to switch to a new framework.",Relevant
"I'll follow up with the vendor about pricing.",Relevant
"We should schedule a call with the stakeholders.",Relevant
"The presentation needs three more slides on results.",Relevant
"Abhishek, can you send the report to Sonali by end of week?",Relevant
"Let's start the meeting and go over today's agenda.",Relevant
"I appreciate everyone joining, let's get into the update.",Relevant
"Can someone take ownership of the tracking issue?",Relevant
"We're signing up new campaign managers this week.",Relevant
"I think this team can take on the migration task.",Relevant
"Let's push the release to next sprint.",Relevant
"The model is not performing well, we need to retrain it.",Relevant
"The project hasn't been completed yet, we're behind schedule.",Relevant
"This approach isn't working, we should try something else.",Relevant
"Our numbers are down this quarter, we need to investigate.",Relevant
"The server crashed twice this week, that's a serious problem.",Relevant
"We lost two clients last month due to delays.",Relevant
"The current design has major usability issues.",Relevant
"This feature is broken and needs to be fixed urgently.",Relevant
"We're falling behind on the roadmap for this release.",Relevant
"The budget overran by twenty percent this quarter.",Relevant
"There's a critical bug in the payment system.",Relevant
"Our test coverage dropped significantly after the last update.",Relevant
"The vendor missed the delivery deadline again.",Relevant
"Did you watch the match yesterday?",Irrelevant
"Haha, that was really funny.",Irrelevant
"How are you doing today?",Irrelevant
"I don't like my boss sometimes.",Irrelevant
"I hate doing these documentation tasks.",Irrelevant
"I'm feeling tired today.",Irrelevant
"My weekend was so relaxing.",Irrelevant
"That movie was hilarious.",Irrelevant
"I went hiking last Sunday.",Irrelevant
"Do you want to grab coffee later?",Irrelevant
"My cat knocked over a plant again.",Irrelevant
"Traffic was terrible this morning.",Irrelevant
"I can't believe how hot it is today.",Irrelevant
"Did you see that meme going around?",Irrelevant
"I'm really into this new show on Netflix.",Irrelevant
"Yeah, that's cool.",Irrelevant
"Cool.",Irrelevant
"Yep.",Irrelevant
"That's funny honestly.",Irrelevant
"I appreciate you, you're a good friend.",Irrelevant
"I am very happy because I bought a new phone.",Irrelevant
"I love spending time with my family on weekends.",Irrelevant
"I'm so excited about my vacation next month.",Irrelevant
"This coffee tastes amazing today.",Irrelevant
"I'm thrilled about the new restaurant that opened nearby.",Irrelevant
"I don't like working with this team sometimes.",Irrelevant
"I'm annoyed that I woke up late today.",Irrelevant
"I really don't enjoy Mondays.",Irrelevant
"I'm just tired of this whole week honestly.",Irrelevant
"I hate how slow my internet is at home.",Irrelevant
"Sorry I'm a bit late, traffic was crazy.",Irrelevant
"By the way, did you catch the game last night?",Irrelevant
"Anyway, how's your family doing?",Irrelevant
"I was just testing this, not sure if it's working.",Irrelevant
"I don't know if this transcript is alive.",Irrelevant
"Let's see if this thing is even working.",Irrelevant
"So yeah, that's basically it I guess.",Irrelevant
"Okay cool, sounds good.",Irrelevant
"Thanks for adding this, appreciate it.",Irrelevant
"That's a good point honestly.",Irrelevant
"So then just so you know, whatever.",Irrelevant
